corridor,date,day_of_week,departure_time,arrival_time,from_stop,to_stop,from_name,to_name,from_coord,to_coord,distance_km,travel_time_min,effective_speed_kmh,traffic_condition,cumulative_time_min
Angkot Feeder Koridor 5,2025-09-29,Monday,06:00:00,06:00:17,1,2,Angkot Feeder Koridor 5 - Stop 1,Angkot Feeder Koridor 5 - Stop 2,"""-3.031245877069124,104.7901965402906""","""-3.030608662407209,104.7895656152155""",0.1,0.29,20.5,Moderate,0.29
Angkot Feeder Koridor 5,2025-09-29,Monday,06:00:17,06:00:57,2,3,Angkot Feeder Koridor 5 - Stop 2,Angkot Feeder Koridor 5 - Stop 3,"""-3.030608662407209,104.7895656152155""","""-3.032314988702669,104.7906804065482""",0.227,0.66,20.7,Moderate,0.95
Angkot Feeder Koridor 5,2025-09-29,Monday,06:00:57,06:02:18,3,4,Angkot Feeder Koridor 5 - Stop 3,Angkot Feeder Koridor 5 - Stop 4,"""-3.032314988702669,104.7906804065482""","""-3.035253991657295,104.7926111713686""",0.391,1.35,17.4,Heavy,2.3
Angkot Feeder Koridor 5,2025-09-29,Monday,06:02:18,06:02:55,4,5,Angkot Feeder Koridor 5 - Stop 4,Angkot Feeder Koridor 5 - Stop 5,"""-3.035253991657295,104.7926111713686""","""-3.036763912028057,104.7936220699434""",0.202,0.63,19.1,Heavy,2.93
Angkot Feeder Koridor 5,2025-09-29,Monday,06:02:55,06:03:40,5,6,Angkot Feeder Koridor 5 - Stop 5,Angkot Feeder Koridor 5 - Stop 6,"""-3.036763912028057,104.7936220699434""","""-3.038517163600051,104.7948224616503""",0.236,0.75,19.0,Heavy,3.68
Angkot Feeder Koridor 5,2025-09-29,Monday,06:03:40,06:04:02,6,7,Angkot Feeder Koridor 5 - Stop 6,Angkot Feeder Koridor 5 - Stop 7,"""-3.038517163600051,104.7948224616503""","""-3.039408301345013,104.7954873136769""",0.124,0.36,20.4,Moderate,4.04
Angkot Feeder Koridor 5,2025-09-29,Monday,06:04:02,06:04:50,7,8,Angkot Feeder Koridor 5 - Stop 7,Angkot Feeder Koridor 5 - Stop 8,"""-3.039408301345013,104.7954873136769""","""-3.03761218804809,104.7964495064149""",0.227,0.8,17.0,Heavy,4.84
Angkot Feeder Koridor 5,2025-09-29,Monday,06:04:50,06:06:12,8,9,Angkot Feeder Koridor 5 - Stop 8,Angkot Feeder Koridor 5 - Stop 9,"""-3.03761218804809,104.7964495064149""","""-3.035034444434697,104.797762991532""",0.322,1.37,14.1,Heavy,6.21
Angkot Feeder Koridor 5,2025-09-29,Monday,06:06:12,06:07:07,9,10,Angkot Feeder Koridor 5 - Stop 9,Angkot Feeder Koridor 5 - Stop 10,"""-3.035034444434697,104.797762991532""","""-3.032397678190883,104.7990906455932""",0.328,0.91,21.6,Moderate,7.12
Angkot Feeder Koridor 5,2025-09-29,Monday,06:07:07,06:08:12,10,11,Angkot Feeder Koridor 5 - Stop 10,Angkot Feeder Koridor 5 - Stop 11,"""-3.032397678190883,104.7990906455932""","""-3.02955405127892,104.8005324291791""",0.354,1.08,19.6,Heavy,8.2
