corridor,date,day_of_week,departure_time,arrival_time,from_stop,to_stop,from_name,to_name,from_coord,to_coord,distance_km,travel_time_min,effective_speed_kmh,traffic_condition,cumulative_time_min
Angkot Feeder Koridor 7,2025-09-29,Monday,06:00:00,06:01:41,1,2,Angkot Feeder Koridor 7 - Stop 1,Angkot Feeder Koridor 7 - Stop 2,"""-2.970246850143196,104.7461546977343""","""-2.965716090069392,104.746473246884""",0.505,1.69,18.0,Heavy,1.69
Angkot Feeder Koridor 7,2025-09-29,Monday,06:01:41,06:03:21,2,3,Angkot Feeder Koridor 7 - Stop 2,Angkot Feeder Koridor 7 - Stop 3,"""-2.965716090069392,104.746473246884""","""-2.97037430603274,104.7460325411604""",0.52,1.66,18.8,Heavy,3.35
Angkot Feeder Koridor 7,2025-09-29,Monday,06:03:21,06:05:00,3,4,Angkot Feeder Koridor 7 - Stop 3,Angkot Feeder Koridor 7 - Stop 4,"""-2.97037430603274,104.7460325411604""","""-2.973538805408869,104.7433515429365""",0.461,1.66,16.6,Heavy,5.01
Angkot Feeder Koridor 7,2025-09-29,Monday,06:05:00,06:06:39,4,5,Angkot Feeder Koridor 7 - Stop 4,Angkot Feeder Koridor 7 - Stop 5,"""-2.973538805408869,104.7433515429365""","""-2.977088911778464,104.7451470678914""",0.442,1.64,16.2,Heavy,6.65
Angkot Feeder Koridor 7,2025-09-29,Monday,06:06:39,06:07:43,5,6,Angkot Feeder Koridor 7 - Stop 5,Angkot Feeder Koridor 7 - Stop 6,"""-2.977088911778464,104.7451470678914""","""-2.979829157318357,104.7456709788022""",0.31,1.08,17.2,Heavy,7.73
Angkot Feeder Koridor 7,2025-09-29,Monday,06:07:43,06:10:18,6,7,Angkot Feeder Koridor 7 - Stop 6,Angkot Feeder Koridor 7 - Stop 7,"""-2.979829157318357,104.7456709788022""","""-2.976881719482787,104.7376026325868""",0.954,2.57,22.2,Moderate,10.3
Angkot Feeder Koridor 7,2025-09-29,Monday,06:10:18,06:13:00,7,8,Angkot Feeder Koridor 7 - Stop 7,Angkot Feeder Koridor 7 - Stop 8,"""-2.976881719482787,104.7376026325868""","""-2.98486225577969,104.7372188437626""",0.888,2.71,19.7,Heavy,13.01
Angkot Feeder Koridor 7,2025-09-29,Monday,06:13:00,06:14:51,8,9,Angkot Feeder Koridor 7 - Stop 8,Angkot Feeder Koridor 7 - Stop 9,"""-2.98486225577969,104.7372188437626""","""-2.989745831216523,104.7353547879512""",0.581,1.85,18.9,Heavy,14.86
Angkot Feeder Koridor 7,2025-09-29,Monday,06:14:51,06:17:15,9,10,Angkot Feeder Koridor 7 - Stop 9,Angkot Feeder Koridor 7 - Stop 10,"""-2.989745831216523,104.7353547879512""","""-2.990781603033503,104.7284989407261""",0.77,2.39,19.3,Heavy,17.25
Angkot Feeder Koridor 7,2025-09-29,Monday,06:17:15,06:18:42,10,11,Angkot Feeder Koridor 7 - Stop 10,Angkot Feeder Koridor 7 - Stop 11,"""-2.990781603033503,104.7284989407261""","""-2.994232897526178,104.7261864387696""",0.462,1.45,19.1,Heavy,18.7
Angkot Feeder Koridor 7,2025-09-29,Monday,06:18:42,06:21:46,11,12,Angkot Feeder Koridor 7 - Stop 11,Angkot Feeder Koridor 7 - Stop 12,"""-2.994232897526178,104.7261864387696""","""-2.987598004581296,104.7299393748662""",0.847,3.07,16.6,Heavy,21.77
Angkot Feeder Koridor 7,2025-09-29,Monday,06:21:46,06:23:54,12,13,Angkot Feeder Koridor 7 - Stop 12,Angkot Feeder Koridor 7 - Stop 13,"""-2.987598004581296,104.7299393748662""","""-2.989661873143942,104.7354208919019""",0.651,2.13,18.3,Heavy,23.9
Angkot Feeder Koridor 7,2025-09-29,Monday,06:23:54,06:26:00,13,14,Angkot Feeder Koridor 7 - Stop 13,Angkot Feeder Koridor 7 - Stop 14,"""-2.989661873143942,104.7354208919019""","""-2.985380087792897,104.7383117911321""",0.574,2.11,16.3,Heavy,26.01
Angkot Feeder Koridor 7,2025-09-29,Monday,06:26:00,06:27:38,14,15,Angkot Feeder Koridor 7 - Stop 14,Angkot Feeder Koridor 7 - Stop 15,"""-2.985380087792897,104.7383117911321""","""-2.981314290449635,104.7378436235695""",0.455,1.63,16.8,Heavy,27.64
Angkot Feeder Koridor 7,2025-09-29,Monday,06:27:38,06:29:15,15,16,Angkot Feeder Koridor 7 - Stop 15,Angkot Feeder Koridor 7 - Stop 16,"""-2.981314290449635,104.7378436235695""","""-2.976352620799278,104.7376437733976""",0.552,1.61,20.5,Moderate,29.25
Angkot Feeder Koridor 7,2025-09-29,Monday,06:29:15,06:30:52,16,17,Angkot Feeder Koridor 7 - Stop 16,Angkot Feeder Koridor 7 - Stop 17,"""-2.976352620799278,104.7376437733976""","""-2.973015664176744,104.7398576920943""",0.445,1.63,16.4,Heavy,30.88
Angkot Feeder Koridor 7,2025-09-29,Monday,06:30:52,06:32:34,17,18,Angkot Feeder Koridor 7 - Stop 17,Angkot Feeder Koridor 7 - Stop 18,"""-2.973015664176744,104.7398576920943""","""-2.975859783213199,104.7431387039356""",0.482,1.7,17.0,Heavy,32.58
Angkot Feeder Koridor 7,2025-09-29,Monday,06:32:34,06:33:40,18,19,Angkot Feeder Koridor 7 - Stop 18,Angkot Feeder Koridor 7 - Stop 19,"""-2.975859783213199,104.7431387039356""","""-2.977639276623087,104.7462192960321""",0.395,1.09,21.7,Moderate,33.67
Angkot Feeder Koridor 7,2025-09-29,Monday,06:33:40,06:35:28,19,20,Angkot Feeder Koridor 7 - Stop 19,Angkot Feeder Koridor 7 - Stop 20,"""-2.977639276623087,104.7462192960321""","""-2.973839343039945,104.7431352896542""",0.544,1.8,18.1,Heavy,35.47
Angkot Feeder Koridor 7,2025-09-29,Monday,06:35:28,06:37:20,20,21,Angkot Feeder Koridor 7 - Stop 20,Angkot Feeder Koridor 7 - Stop 21,"""-2.973839343039945,104.7431352896542""","""-2.970312024063757,104.7461188938377""",0.513,1.87,16.4,Heavy,37.34
Angkot Feeder Koridor 7,2025-09-29,Monday,06:37:20,06:37:21,21,22,Angkot Feeder Koridor 7 - Stop 21,Angkot Feeder Koridor 7 - Stop 22,"""-2.970312024063757,104.7461188938377""","""-2.970270572212579,104.7461571846469""",0.006,0.02,21.5,Moderate,37.36
Angkot Feeder Koridor 7,2025-09-29,Monday,07:00:00,07:01:35,1,2,Angkot Feeder Koridor 7 - Stop 1,Angkot Feeder Koridor 7 - Stop 2,"""-2.970246850143196,104.7461546977343""","""-2.965716090069392,104.746473246884""",0.505,1.59,19.0,Heavy,1.59
Angkot Feeder Koridor 7,2025-09-29,Monday,07:01:35,07:03:14,2,3,Angkot Feeder Koridor 7 - Stop 2,Angkot Feeder Koridor 7 - Stop 3,"""-2.965716090069392,104.746473246884""","""-2.97037430603274,104.7460325411604""",0.52,1.65,18.9,Heavy,3.24
Angkot Feeder Koridor 7,2025-09-29,Monday,07:03:14,07:04:40,3,4,Angkot Feeder Koridor 7 - Stop 3,Angkot Feeder Koridor 7 - Stop 4,"""-2.97037430603274,104.7460325411604""","""-2.973538805408869,104.7433515429365""",0.461,1.43,19.3,Heavy,4.67
Angkot Feeder Koridor 7,2025-09-29,Monday,07:04:40,07:06:17,4,5,Angkot Feeder Koridor 7 - Stop 4,Angkot Feeder Koridor 7 - Stop 5,"""-2.973538805408869,104.7433515429365""","""-2.977088911778464,104.7451470678914""",0.442,1.62,16.4,Heavy,6.29
Angkot Feeder Koridor 7,2025-09-29,Monday,07:06:17,07:07:13,5,6,Angkot Feeder Koridor 7 - Stop 5,Angkot Feeder Koridor 7 - Stop 6,"""-2.977088911778464,104.7451470678914""","""-2.979829157318357,104.7456709788022""",0.31,0.94,19.8,Heavy,7.23
Angkot Feeder Koridor 7,2025-09-29,Monday,07:07:13,07:10:07,6,7,Angkot Feeder Koridor 7 - Stop 6,Angkot Feeder Koridor 7 - Stop 7,"""-2.979829157318357,104.7456709788022""","""-2.976881719482787,104.7376026325868""",0.954,2.89,19.8,Heavy,10.12
Angkot Feeder Koridor 7,2025-09-29,Monday,07:10:07,07:12:44,7,8,Angkot Feeder Koridor 7 - Stop 7,Angkot Feeder Koridor 7 - Stop 8,"""-2.976881719482787,104.7376026325868""","""-2.98486225577969,104.7372188437626""",0.888,2.62,20.4,Moderate,12.74
