corridor,date,day_of_week,departure_time,arrival_time,from_stop,to_stop,from_name,to_name,from_coord,to_coord,distance_km,travel_time_min,effective_speed_kmh,traffic_condition,cumulative_time_min
Angkot Feeder Koridor 6,2025-09-29,Monday,06:00:00,06:01:30,1,2,Angkot Feeder Koridor 6 - Stop 1,Angkot Feeder Koridor 6 - Stop 2,"""-2.948188891173271,104.7325262053872""","""-2.944369390527978,104.7303694375265""",0.488,1.51,19.4,Heavy,1.51
Angkot Feeder Koridor 6,2025-09-29,Monday,06:01:30,06:04:12,2,3,Angkot Feeder Koridor 6 - Stop 2,Angkot Feeder Koridor 6 - Stop 3,"""-2.944369390527978,104.7303694375265""","""-2.937347533364583,104.7333277843112""",0.847,2.69,18.9,Heavy,4.2
Angkot Feeder Koridor 6,2025-09-29,Monday,06:04:12,06:06:31,3,4,Angkot Feeder Koridor 6 - Stop 3,Angkot Feeder Koridor 6 - Stop 4,"""-2.937347533364583,104.7333277843112""","""-2.932996439826874,104.7367300975697""",0.614,2.32,15.8,Heavy,6.52
Angkot Feeder Koridor 6,2025-09-29,Monday,06:06:31,06:07:19,4,5,Angkot Feeder Koridor 6 - Stop 4,Angkot Feeder Koridor 6 - Stop 5,"""-2.932996439826874,104.7367300975697""","""-2.930876566014444,104.7381695840613""",0.285,0.8,21.3,Moderate,7.32
Angkot Feeder Koridor 6,2025-09-29,Monday,06:07:19,06:08:26,5,6,Angkot Feeder Koridor 6 - Stop 5,Angkot Feeder Koridor 6 - Stop 6,"""-2.930876566014444,104.7381695840613""","""-2.92931841072034,104.7412173013874""",0.38,1.12,20.5,Moderate,8.44
Angkot Feeder Koridor 6,2025-09-29,Monday,06:08:26,06:10:30,6,7,Angkot Feeder Koridor 6 - Stop 6,Angkot Feeder Koridor 6 - Stop 7,"""-2.92931841072034,104.7412173013874""","""-2.93032041665111,104.7455677769019""",0.496,2.07,14.4,Heavy,10.51
Angkot Feeder Koridor 6,2025-09-29,Monday,06:10:30,06:12:48,7,8,Angkot Feeder Koridor 6 - Stop 7,Angkot Feeder Koridor 6 - Stop 8,"""-2.93032041665111,104.7455677769019""","""-2.926545816981752,104.7492664636629""",0.587,2.3,15.3,Heavy,12.81
Angkot Feeder Koridor 6,2025-09-29,Monday,06:12:48,06:13:25,8,9,Angkot Feeder Koridor 6 - Stop 8,Angkot Feeder Koridor 6 - Stop 9,"""-2.926545816981752,104.7492664636629""","""-2.927094587026819,104.7511112076995""",0.214,0.62,20.7,Moderate,13.43
Angkot Feeder Koridor 6,2025-09-29,Monday,06:13:25,06:14:55,9,10,Angkot Feeder Koridor 6 - Stop 9,Angkot Feeder Koridor 6 - Stop 10,"""-2.927094587026819,104.7511112076995""","""-2.931027863447365,104.7509445642215""",0.438,1.5,17.5,Heavy,14.93
Angkot Feeder Koridor 6,2025-09-29,Monday,06:14:55,06:16:21,10,11,Angkot Feeder Koridor 6 - Stop 10,Angkot Feeder Koridor 6 - Stop 11,"""-2.931027863447365,104.7509445642215""","""-2.930874062203713,104.746629956408""",0.479,1.43,20.2,Moderate,16.36
Angkot Feeder Koridor 6,2025-09-29,Monday,06:16:21,06:17:28,11,12,Angkot Feeder Koridor 6 - Stop 11,Angkot Feeder Koridor 6 - Stop 12,"""-2.930874062203713,104.746629956408""","""-2.930060470001773,104.7441457063278""",0.29,1.11,15.7,Heavy,17.47
Angkot Feeder Koridor 6,2025-09-29,Monday,06:17:28,06:18:47,12,13,Angkot Feeder Koridor 6 - Stop 12,Angkot Feeder Koridor 6 - Stop 13,"""-2.930060470001773,104.7441457063278""","""-2.929368734309262,104.7397428753961""",0.495,1.32,22.6,Moderate,18.79
