corridor,date,day_of_week,departure_time,arrival_time,from_stop,to_stop,from_name,to_name,from_coord,to_coord,distance_km,travel_time_min,effective_speed_kmh,traffic_condition,cumulative_time_min
Angkot Feeder Koridor 4,2025-09-29,Monday,06:00:00,06:00:12,1,2,Angkot Feeder Koridor 4 - Stop 1,Angkot Feeder Koridor 4 - Stop 2,"""-3.005204983754517,104.7726462720486""","""-3.005744784879178,104.7729066386651""",0.067,0.2,19.8,Heavy,0.2
Angkot Feeder Koridor 4,2025-09-29,Monday,06:00:12,06:01:45,2,3,Angkot Feeder Koridor 4 - Stop 2,Angkot Feeder Koridor 4 - Stop 3,"""-3.005744784879178,104.7729066386651""","""-3.009332031971085,104.7746843946596""",0.445,1.56,17.1,Heavy,1.76
Angkot Feeder Koridor 4,2025-09-29,Monday,06:01:45,06:04:15,3,4,Angkot Feeder Koridor 4 - Stop 3,Angkot Feeder Koridor 4 - Stop 4,"""-3.009332031971085,104.7746843946596""","""-3.015864284319246,104.7744668154561""",0.727,2.5,17.5,Heavy,4.26
Angkot Feeder Koridor 4,2025-09-29,Monday,06:04:15,06:06:28,4,5,Angkot Feeder Koridor 4 - Stop 4,Angkot Feeder Koridor 4 - Stop 5,"""-3.015864284319246,104.7744668154561""","""-3.022004961845275,104.7747170296332""",0.683,2.22,18.5,Heavy,6.48
Angkot Feeder Koridor 4,2025-09-29,Monday,06:06:28,06:08:04,5,6,Angkot Feeder Koridor 4 - Stop 5,Angkot Feeder Koridor 4 - Stop 6,"""-3.022004961845275,104.7747170296332""","""-3.026429384841214,104.7744533506534""",0.493,1.59,18.6,Heavy,8.07
Angkot Feeder Koridor 4,2025-09-29,Monday,06:08:04,06:09:14,6,7,Angkot Feeder Koridor 4 - Stop 6,Angkot Feeder Koridor 4 - Stop 7,"""-3.026429384841214,104.7744533506534""","""-3.02778380876134,104.7769550339743""",0.316,1.17,16.2,Heavy,9.24
Angkot Feeder Koridor 4,2025-09-29,Monday,06:09:14,06:11:27,7,8,Angkot Feeder Koridor 4 - Stop 7,Angkot Feeder Koridor 4 - Stop 8,"""-3.02778380876134,104.7769550339743""","""-3.032151995308082,104.7785031099075""",0.515,2.21,14.0,Heavy,11.45
Angkot Feeder Koridor 4,2025-09-29,Monday,06:11:27,06:13:40,8,9,Angkot Feeder Koridor 4 - Stop 8,Angkot Feeder Koridor 4 - Stop 9,"""-3.032151995308082,104.7785031099075""","""-3.037042991091124,104.7802490443604""",0.577,2.23,15.6,Heavy,13.68
Angkot Feeder Koridor 4,2025-09-29,Monday,06:13:40,06:15:27,9,10,Angkot Feeder Koridor 4 - Stop 9,Angkot Feeder Koridor 4 - Stop 10,"""-3.037042991091124,104.7802490443604""","""-3.041262302911135,104.7816277742808""",0.494,1.77,16.7,Heavy,15.45
Angkot Feeder Koridor 4,2025-09-29,Monday,06:15:27,06:17:18,10,11,Angkot Feeder Koridor 4 - Stop 10,Angkot Feeder Koridor 4 - Stop 11,"""-3.041262302911135,104.7816277742808""","""-3.043351249840972,104.7851743655847""",0.457,1.86,14.7,Heavy,17.31
Angkot Feeder Koridor 4,2025-09-29,Monday,06:17:18,06:18:08,11,12,Angkot Feeder Koridor 4 - Stop 11,Angkot Feeder Koridor 4 - Stop 12,"""-3.043351249840972,104.7851743655847""","""-3.04568124545866,104.7850322070485""",0.26,0.83,18.8,Heavy,18.14
Angkot Feeder Koridor 4,2025-09-29,Monday,06:18:08,06:19:00,12,13,Angkot Feeder Koridor 4 - Stop 12,Angkot Feeder Koridor 4 - Stop 13,"""-3.04568124545866,104.7850322070485""","""-3.043336939006209,104.7852654278681""",0.262,0.86,18.3,Heavy,19.0
Angkot Feeder Koridor 4,2025-09-29,Monday,06:19:00,06:20:26,13,14,Angkot Feeder Koridor 4 - Stop 13,Angkot Feeder Koridor 4 - Stop 14,"""-3.043336939006209,104.7852654278681""","""-3.041830440130078,104.7823640274012""",0.363,1.44,15.1,Heavy,20.44
Angkot Feeder Koridor 4,2025-09-29,Monday,06:20:26,06:21:46,14,15,Angkot Feeder Koridor 4 - Stop 14,Angkot Feeder Koridor 4 - Stop 15,"""-3.041830440130078,104.7823640274012""","""-3.039324033006538,104.7810228033165""",0.316,1.34,14.1,Heavy,21.78
Angkot Feeder Koridor 4,2025-09-29,Monday,06:21:46,06:23:04,15,16,Angkot Feeder Koridor 4 - Stop 15,Angkot Feeder Koridor 4 - Stop 16,"""-3.039324033006538,104.7810228033165""","""-3.035634986084398,104.7797989774212""",0.432,1.3,20.0,Moderate,23.08
Angkot Feeder Koridor 4,2025-09-29,Monday,06:23:04,06:23:58,16,17,Angkot Feeder Koridor 4 - Stop 16,Angkot Feeder Koridor 4 - Stop 17,"""-3.035634986084398,104.7797989774212""","""-3.032944483948373,104.7788052375547""",0.319,0.9,21.1,Moderate,23.98
Angkot Feeder Koridor 4,2025-09-29,Monday,06:23:58,06:25:18,17,18,Angkot Feeder Koridor 4 - Stop 17,Angkot Feeder Koridor 4 - Stop 18,"""-3.032944483948373,104.7788052375547""","""-3.029274260826345,104.7775069859372""",0.433,1.32,19.6,Heavy,25.3
Angkot Feeder Koridor 4,2025-09-29,Monday,06:25:18,06:27:06,18,19,Angkot Feeder Koridor 4 - Stop 18,Angkot Feeder Koridor 4 - Stop 19,"""-3.029274260826345,104.7775069859372""","""-3.024898082294632,104.7759069975982""",0.518,1.8,17.3,Heavy,27.1
Angkot Feeder Koridor 4,2025-09-29,Monday,06:27:06,06:30:31,19,20,Angkot Feeder Koridor 4 - Stop 19,Angkot Feeder Koridor 4 - Stop 20,"""-3.024898082294632,104.7759069975982""","""-3.014877774578979,104.7746658477505""",1.123,3.42,19.7,Heavy,30.52
