corridor,date,day_of_week,departure_time,arrival_time,from_stop,to_stop,from_name,to_name,from_coord,to_coord,distance_km,travel_time_min,effective_speed_kmh,traffic_condition,cumulative_time_min
Angkot Feeder Koridor 3,2025-09-29,Monday,06:00:00,06:01:30,1,2,Angkot Feeder Koridor 3 - Stop 1,Angkot Feeder Koridor 3 - Stop 2,"""-2.89389284877743,104.6803438618357""","""-2.894903571937648,104.6846304695676""",0.489,1.5,19.5,Heavy,1.5
Angkot Feeder Koridor 3,2025-09-29,Monday,06:01:30,06:03:22,2,3,Angkot Feeder Koridor 3 - Stop 2,Angkot Feeder Koridor 3 - Stop 3,"""-2.894903571937648,104.6846304695676""","""-2.895986040786787,104.6889176816071""",0.491,1.88,15.6,Heavy,3.38
Angkot Feeder Koridor 3,2025-09-29,Monday,06:03:22,06:04:33,3,4,Angkot Feeder Koridor 3 - Stop 3,Angkot Feeder Koridor 3 - Stop 4,"""-2.895986040786787,104.6889176816071""","""-2.896768613563925,104.6918115579588""",0.333,1.17,17.0,Heavy,4.55
Angkot Feeder Koridor 3,2025-09-29,Monday,06:04:33,06:06:36,4,5,Angkot Feeder Koridor 3 - Stop 4,Angkot Feeder Koridor 3 - Stop 5,"""-2.896768613563925,104.6918115579588""","""-2.899298221466181,104.6972687598111""",0.668,2.06,19.5,Heavy,6.61
Angkot Feeder Koridor 3,2025-09-29,Monday,06:06:36,06:07:43,5,6,Angkot Feeder Koridor 3 - Stop 5,Angkot Feeder Koridor 3 - Stop 6,"""-2.899298221466181,104.6972687598111""","""-2.902599591846821,104.6991293008667""",0.421,1.11,22.7,Moderate,7.72
Angkot Feeder Koridor 3,2025-09-29,Monday,06:07:43,06:09:48,6,7,Angkot Feeder Koridor 3 - Stop 6,Angkot Feeder Koridor 3 - Stop 7,"""-2.902599591846821,104.6991293008667""","""-2.908863674898944,104.7001833717805""",0.706,2.09,20.3,Moderate,9.81
Angkot Feeder Koridor 3,2025-09-29,Monday,06:09:48,06:13:40,7,8,Angkot Feeder Koridor 3 - Stop 7,Angkot Feeder Koridor 3 - Stop 8,"""-2.908863674898944,104.7001833717805""","""-2.916797563790868,104.7049750111361""",1.03,3.87,16.0,Heavy,13.68
Angkot Feeder Koridor 3,2025-09-29,Monday,06:13:40,06:15:40,8,9,Angkot Feeder Koridor 3 - Stop 8,Angkot Feeder Koridor 3 - Stop 9,"""-2.916797563790868,104.7049750111361""","""-2.920560479723129,104.7080362262525""",0.539,1.99,16.2,Heavy,15.67
Angkot Feeder Koridor 3,2025-09-29,Monday,06:15:40,06:17:06,9,10,Angkot Feeder Koridor 3 - Stop 9,Angkot Feeder Koridor 3 - Stop 10,"""-2.920560479723129,104.7080362262525""","""-2.922913487390877,104.7106678152606""",0.392,1.43,16.5,Heavy,17.1
Angkot Feeder Koridor 3,2025-09-29,Monday,06:17:06,06:17:45,10,11,Angkot Feeder Koridor 3 - Stop 10,Angkot Feeder Koridor 3 - Stop 11,"""-2.922913487390877,104.7106678152606""","""-2.921742560781174,104.7115970457786""",0.166,0.66,15.2,Heavy,17.76
Angkot Feeder Koridor 3,2025-09-29,Monday,06:17:45,06:19:02,11,12,Angkot Feeder Koridor 3 - Stop 11,Angkot Feeder Koridor 3 - Stop 12,"""-2.921742560781174,104.7115970457786""","""-2.91787610942034,104.7120653521518""",0.433,1.28,20.2,Moderate,19.04
Angkot Feeder Koridor 3,2025-09-29,Monday,06:19:02,06:19:48,12,13,Angkot Feeder Koridor 3 - Stop 12,Angkot Feeder Koridor 3 - Stop 13,"""-2.91787610942034,104.7120653521518""","""-2.916021956938102,104.7121472901953""",0.206,0.77,16.1,Heavy,19.81
Angkot Feeder Koridor 3,2025-09-29,Monday,06:19:48,06:21:03,13,14,Angkot Feeder Koridor 3 - Stop 13,Angkot Feeder Koridor 3 - Stop 14,"""-2.916021956938102,104.7121472901953""","""-2.918960456946993,104.7115207853648""",0.334,1.25,16.0,Heavy,21.06
